THEME,COUNT
+1/+1 Counters,169000
-1/-1 Counters,12849
Activated Abilities,1175
Ad Nauseam,3218
Adventures,367
Affinity,2316
Aggro,39911
Aikido,955
Amass,756
Anthems,3088
Aristocrats,112938
Artifacts,202278
Attack Triggers,2235
Attractions,610
Auras,92786
Banding,72
Battles,93
Big Mana,40315
Birthing Pod,61444
Blink,38910
Blood,378
Blue Moon,268
Bounce,3842
Burn,52714
Cantrips,47708
Card Draw,15054
Cascade,13600
Caves,17
cEDH,25782
Chaos,30687
Charge Counters,86
Cheerios,8770
Clones,29260
Clues,21363
Coin Flip,357
Color Hack,74
Combo,52239
Commander Matters,5349
Connive,209
Control,26458
Convoke,6157
Counterspells,7144
Craft,40
Creatureless,131
Crime,275
Curses,8338
Cycling,7150
Day / Night,35
Deathtouch,16139
Defenders,2608
Delver,259
Descend,132
Deserts,253
Devotion,5452
Die Roll,731
Discard,38564
Discover,1183
Donate,952
Dragon's Approach,11538
Dredge,4481
Dungeon,2074
Eggs,1316
Enchantress,71006
Energy,14791
Enrage,2025
Equipment,122761
ETB,3218
Evoke,14
Exalted,1707
Exile,37180
Experience Counters,73
Exploit,7
Explore,485
Extra Combats,20605
Extra Turns,8236
Extra Upkeeps,84
Fight,11498
Flash,5469
Flashback,131
Fling,493
Flying,24322
Food,2325
Foretell,10175
Glass Cannon,397
Goad,3931
Good Stuff,10212
Graveyard,24933
Group Hug,13218
Group Slug,11970
Guildgates,693
Gyruda Companion,1143
Hand Size,367
Hare Apparent,49
Haste,862
Hatebears,13843
Hellbent,62
Heroic,54
Hippos,4
Historic,30343
Improvise,49
Impulse Draw,561
Infect,56936
Jegantha Companion,4853
Kaheera Companion,9392
Keruga Companion,2908
Keywords,5039
Kicker,95
Land Animation,445
Land Destruction,7695
Landfall,48528
Lands Matter,94854
Landwalk,180
Legends,77102
Lifedrain,3461
Lifegain,178142
Lure,98
Lurrus Companion,1890
Madness,7188
Midrange,23114
Mill,75710
Modular,730
Monarch,14999
Morph,11972
Mount,14
Multicolor Matters,959
Mutate,12539
Myriad,66
Ninjutsu,31696
Obosh Companion,2418
Offspring,91
Oil Counters,51
Old School,94
Outlaws,350
Party,11825
Persistent Petitioners,6621
Phasing,68
Pillow Fort,6609
Pingers,4513
Planeswalkers,49555
Politics,7333
Polymorph,4860
Populate,4591
Power,6853
Primal Surge,6996
Prison,994
Proliferate,2908
Prowess,7300
Rad Counters,254
Ramp,25798
Rat Colony,20287
Reach,72
Reanimator,41854
Relentless Rats,3987
Rock,929
Rooms,111
Saboteurs,87
Sacrifice,91118
Sagas,25176
Scry,815
Sea Creatures,9408
Self-Damage,3302
Self-Destruct,101
Self-Discard,146
Self-Mill,12952
Servos,9
Shadowborn Apostles,7829
Shrines,434
Skulk,29
Slime Against Humanity,208
Sneak Attack,385
Snow,13256
Spell Copy,19673
Spellslinger,104823
Spore Counters,17
Squad,6
Stax,21339
Stickers,28
Stompy,12437
Stoneblade,238
Storm,16220
Sunforger,12043
Surveil,120
Suspend,464
Tap / Untap,1799
Templar Knights,19
Tempo,5176
The Ring,751
Theft,15287
Time Counters,376
Tokens,176192
Toolbox,5378
Topdeck,35837
Toughness Matters,41691
Treasure,200064
Triggered Abilities,565
Tron,786
Turbo Fog,75
Type Hack,96
Umori Companion,2261
Unblockable,1496
Unnatural,2039
Vanilla,123
Vehicles,31092
Voltron,27695
Weenies,595
Wheels,109790
X Spells,31379
Zirda Companion,561
Zoo,2044